Optimizer,Feature_Dimension,Complexity_Level,Noise_Level,Hidden_Neurons,Function_Type,Training_Loss,Validation_Loss,Test_Loss,Training_Time
ES,3,high,0.1,10,polynomial,1.9162976308302446,1.8289893507957458,2.0812752485275268,14.946234941482544
ES,3,high,0.1,12,sinusoidal,2.0361609662120994,2.2516650795936584,2.220658016204834,14.735038757324219
ES,3,high,0.5,12,polynomial,1.2606059217994863,1.332455825805664,1.2412590086460114,14.887880802154541
ES,3,high,0.5,27,sinusoidal,5.475782383571971,4.869220733642578,5.93692672252655,20.937385082244873
ES,3,high,1.0,12,sinusoidal,2.5326361696828497,2.4041145741939545,2.3876930475234985,20.999939918518066
ES,3,high,1.0,14,polynomial,1.6688298813321374,1.6561040043830872,1.6621302664279938,21.334583044052124
ES,3,low,0.1,11,polynomial,0.6524043658917601,0.6671738624572754,0.6484210520982743,15.020076513290405
ES,3,low,0.1,11,sinusoidal,75.02643117037687,82.77641143798829,74.14074821472168,14.948928594589233
ES,3,low,0.5,14,sinusoidal,15.090392849662088,16.239600658416748,16.379678630828856,17.898873805999756
ES,3,low,0.5,15,polynomial,1.639055077325214,1.9831321477890014,1.6791445016860962,15.126179933547974
ES,3,low,1.0,12,polynomial,0.467890317467126,0.5158736646175385,0.4719049587845802,20.8588809967041
ES,3,low,1.0,14,sinusoidal,1.4994525719772687,1.6194947957992554,1.4129493474960326,21.2489173412323
ES,3,medium,0.1,10,sinusoidal,0.34862000427462836,0.3299593761563301,0.35001393854618074,14.7150239944458
ES,3,medium,0.1,11,polynomial,1.1787869808348743,1.330714362859726,1.2611034631729126,14.840455293655396
ES,3,medium,0.5,11,polynomial,12.31526226347143,15.443834686279297,10.771128749847412,15.064265966415405
ES,3,medium,0.5,21,sinusoidal,3.0415712107311594,3.083324503898621,3.1081077694892882,21.09287118911743
ES,3,medium,1.0,10,polynomial,0.2913628759031946,0.36131789684295657,0.27796111851930616,20.987457036972046
ES,3,medium,1.0,16,sinusoidal,47.35475410114635,54.573424911499025,53.19206848144531,21.107130527496338
ES,6,high,0.1,14,polynomial,1.6153703372586856,1.7830208897590638,1.7769788920879364,21.82394027709961
ES,6,high,0.1,18,sinusoidal,12.361484029076315,11.50286054611206,11.607030200958253,21.525689601898193
ES,6,high,0.5,11,sinusoidal,3.3048345094377343,3.648613214492798,3.488411176204681,21.332751035690308
ES,6,high,0.5,15,polynomial,10.384735996072942,9.519899892807008,10.769421005249024,21.50489568710327
ES,6,high,1.0,13,polynomial,3.025353055108677,2.5758911311626433,2.952651858329773,21.666001319885254
ES,6,high,1.0,15,sinusoidal,1.2002320276065306,1.283911108970642,1.0871252119541168,21.451250076293945
ES,6,low,0.1,12,sinusoidal,1.0704265724528919,0.965488463640213,1.175105357170105,21.461226224899292
ES,6,low,0.1,13,polynomial,1.701695742932233,1.6041776239871979,1.6233606219291687,21.321380376815796
ES,6,low,0.5,13,sinusoidal,2.610520213842392,2.1451990485191343,2.303284454345703,21.67442560195923
ES,6,low,0.5,14,polynomial,31.039030942049894,33.27605991363525,30.910514450073244,21.8020281791687
ES,6,low,1.0,12,polynomial,290.2633413835005,287.30896453857423,329.4033264160156,21.52343249320984
ES,6,low,1.0,18,sinusoidal,5.553148199211467,5.200313210487366,4.8971216678619385,21.584357023239136
ES,6,medium,0.1,11,sinusoidal,1.0508466986092655,0.9853325188159943,1.148795485496521,21.588009119033813
ES,6,medium,0.1,12,polynomial,1.7987457405437122,1.7658713936805726,1.6364155411720276,21.514285802841187
ES,6,medium,0.5,18,polynomial,6.390317803079432,5.515816712379456,5.9991024255752565,21.435094118118286
ES,6,medium,0.5,18,sinusoidal,290.8945003856312,326.07191467285156,256.15397186279296,21.228593111038208
ES,6,medium,1.0,11,polynomial,1.3149667341600766,1.1583833575248719,1.2377065122127533,21.623292684555054
ES,6,medium,1.0,16,sinusoidal,80.77195267243819,99.00194778442383,78.16788291931152,21.71104335784912
ES,20,high,0.1,10,polynomial,556.1909706809304,576.7147338867187,473.7542556762695,23.459514141082764
ES,20,high,0.1,21,sinusoidal,14.975431940772317,16.322779273986818,15.892924547195435,23.69521713256836
ES,20,high,0.5,10,polynomial,9.378896659070795,8.71926041841507,9.539384460449218,23.524537563323975
ES,20,high,0.5,10,sinusoidal,3.419454577294263,3.3375140905380247,3.4076359033584596,23.48904514312744
ES,20,high,1.0,10,polynomial,3.5750632231885735,3.693437647819519,3.273735773563385,23.658427238464355
ES,20,high,1.0,16,sinusoidal,34.08323743126609,33.42113914489746,34.13826675415039,23.42323923110962
ES,20,low,0.1,10,sinusoidal,6.584976358847185,5.876236629486084,6.968286943435669,23.450047492980957
ES,20,low,0.1,12,polynomial,635.8309173583984,715.2733367919922,577.0392059326172,23.112879753112793
ES,20,low,0.5,10,polynomial,3.0981826890598643,3.20050368309021,3.171671652793884,23.252519130706787
ES,20,low,0.5,11,sinusoidal,1.6077626862309196,1.2003391206264495,1.6371033310890197,23.203007221221924
ES,20,low,1.0,12,polynomial,493.6042785644531,433.88280334472654,520.68818359375,23.461320638656616
ES,20,low,1.0,14,sinusoidal,1159.1156324906783,989.7529235839844,1220.954736328125,23.628967761993408
ES,20,medium,0.1,12,polynomial,606.5365357832475,574.3959060668946,662.9801086425781,23.590240240097046
ES,20,medium,0.1,14,sinusoidal,13.386785528876565,14.803959560394286,13.345651960372924,23.34610390663147
ES,20,medium,0.5,10,sinusoidal,466.521427154541,469.6923522949219,476.7012908935547,23.333011388778687
ES,20,medium,0.5,11,polynomial,6.495246665044264,7.084149980545044,6.681715989112854,23.516735315322876
ES,20,medium,1.0,11,polynomial,249.77018529718572,256.5234436035156,259.69373016357423,23.27863574028015
ES,20,medium,1.0,13,sinusoidal,36.04073723879728,28.447907733917237,28.713363647460938,23.3841655254364
GA,3,high,0.1,11,polynomial,0.04694351731714877,0.04577419459819794,0.04286060519516468,21.619719982147217
GA,3,high,0.1,14,sinusoidal,0.1127633670006286,0.10082780420780182,0.10951274707913398,21.481833934783936
GA,3,high,0.5,11,sinusoidal,59.68297000364824,55.48003463745117,57.33848190307617,30.252294778823853
GA,3,high,0.5,12,polynomial,16.743513865904376,16.499344158172608,18.631851577758788,21.524174690246582
GA,3,high,1.0,10,polynomial,0.07954327406531031,0.06478721536695957,0.07477051988244057,30.177588939666748
GA,3,high,1.0,11,sinusoidal,0.158223182216964,0.1494135044515133,0.1551591657102108,30.274752140045166
GA,3,low,0.1,15,polynomial,0.44830435243519867,0.4358173102140427,0.40522647053003313,21.615739583969116
GA,3,low,0.1,19,sinusoidal,0.1843780240213329,0.18014615327119826,0.1855805143713951,22.02385711669922
GA,3,low,0.5,11,sinusoidal,0.10183639375662262,0.12671186476945878,0.09764246568083763,21.497292280197144
GA,3,low,0.5,13,polynomial,0.03902061355554245,0.038236933015286925,0.03883019350469112,21.61004066467285
GA,3,low,1.0,13,polynomial,0.15804933875121854,0.14407904967665672,0.14844484478235245,29.87152075767517
GA,3,low,1.0,14,sinusoidal,0.09454116284508597,0.08291987925767899,0.10588724240660667,30.355674982070923
GA,3,medium,0.1,11,polynomial,0.06526963658292186,0.05376687571406365,0.06479415372014045,21.625498056411743
GA,3,medium,0.1,11,sinusoidal,0.20426186580549588,0.17143223732709884,0.19307661950588226,21.54234480857849
GA,3,medium,0.5,14,polynomial,0.10169911291450262,0.10088998451828957,0.0997665174305439,21.655190467834473
GA,3,medium,0.5,14,sinusoidal,0.15695833363993603,0.13936032876372337,0.16613146886229516,30.120572566986084
GA,3,medium,1.0,11,polynomial,0.07334712977436456,0.06940159052610398,0.07172197066247463,30.356874465942383
GA,3,medium,1.0,11,sinusoidal,0.10874777278778228,0.09321556016802787,0.08848970755934715,30.189849376678467
GA,6,high,0.1,11,polynomial,0.2989205054261468,0.24221030101180077,0.32368833273649217,31.036962509155273
GA,6,high,0.1,13,sinusoidal,0.7038958431644873,0.5970709890127182,0.7136425644159317,30.862332105636597
GA,6,high,0.5,11,polynomial,0.5075211436911062,0.4435936361551285,0.542203763127327,30.773761749267578
GA,6,high,0.5,11,sinusoidal,0.36402791061184625,0.2516485661268234,0.32103537023067474,30.42769169807434
GA,6,high,1.0,12,polynomial,0.21855155530978332,0.20003689154982568,0.22788164466619493,30.7073233127594
GA,6,high,1.0,15,sinusoidal,0.5688817426562309,0.5476928889751435,0.5545535385608673,30.880120754241943
GA,6,low,0.1,13,polynomial,0.3194259137592532,0.36199883222579954,0.3753984719514847,30.883740186691284
GA,6,low,0.1,13,sinusoidal,0.6143220575018362,0.5363268464803695,0.6990073263645172,31.103427171707153
GA,6,low,0.5,10,polynomial,0.11825807502662594,0.08991429917514324,0.10925337448716163,30.48046898841858
GA,6,low,0.5,12,sinusoidal,0.1939289691773328,0.17592999264597892,0.21764270663261415,30.736156225204468
GA,6,low,1.0,10,polynomial,0.17260540784759956,0.1811690427362919,0.1627193123102188,30.580140352249146
GA,6,low,1.0,11,sinusoidal,0.1692222451621836,0.11360832676291466,0.1434421144425869,30.734357357025146
GA,6,medium,0.1,10,sinusoidal,0.37461580539291556,0.33702951669692993,0.3751230090856552,30.615972995758057
GA,6,medium,0.1,12,polynomial,0.43341148509220645,0.37037311121821404,0.4448124527931213,30.677955389022827
GA,6,medium,0.5,11,sinusoidal,0.39174567230723123,0.33783152848482134,0.4352902978658676,30.529207944869995
GA,6,medium,0.5,12,polynomial,0.37511383030902257,0.34573980122804643,0.4308068558573723,30.82503890991211
GA,6,medium,1.0,11,polynomial,0.309827639975331,0.3013069793581963,0.3262843728065491,30.52921438217163
GA,6,medium,1.0,13,sinusoidal,0.50347439809279,0.45668637156486513,0.4819737285375595,30.799368381500244
GA,20,high,0.1,10,polynomial,1.5775959112427451,1.2388401269912719,1.34368237555027,32.4981963634491
GA,20,high,0.1,10,sinusoidal,1.706792559136044,1.3105433404445648,1.6645358622074127,32.55958151817322
GA,20,high,0.5,10,polynomial,1.8050027855417945,1.4087799429893493,1.7769251108169555,32.099669456481934
GA,20,high,0.5,11,sinusoidal,1.4452262805266813,1.1293521016836165,1.487783181667328,32.64842367172241
GA,20,high,1.0,10,sinusoidal,0.4604539898308841,0.4403886407613754,0.4650057017803192,32.66717505455017
GA,20,high,1.0,11,polynomial,3.006021337075667,2.1935132265090944,2.3519769668579102,32.62750816345215
GA,20,low,0.1,10,polynomial,0.9060588777065277,0.7622941255569458,0.9861510396003723,32.515416860580444
GA,20,low,0.1,10,sinusoidal,1.785498547283086,1.4911514341831207,1.680956530570984,31.708955764770508
GA,20,low,0.5,10,polynomial,2.281790391965346,1.9585312724113464,2.08787317276001,32.52162790298462
GA,20,low,0.5,10,sinusoidal,121.92215260592374,106.3144962310791,113.72093276977539,32.40956139564514
GA,20,low,1.0,10,polynomial,0.5823307443748821,0.4493917629122734,0.5970800071954727,32.367061138153076
GA,20,low,1.0,10,sinusoidal,1.8729881617155941,1.6033701181411744,1.4462972700595855,32.29384970664978
GA,20,medium,0.1,12,sinusoidal,2.9147722964937035,1.968504297733307,3.0220571756362915,32.2140851020813
GA,20,medium,0.1,13,polynomial,3.9511311704462226,3.016496014595032,3.8306610107421877,32.75906705856323
GA,20,medium,0.5,10,polynomial,1.4498426914215088,1.284735494852066,1.6411526918411254,32.321149587631226
GA,20,medium,0.5,12,sinusoidal,1.1310233216394077,0.8523274421691894,1.1083962738513946,32.69367074966431
GA,20,medium,1.0,10,polynomial,0.8822370571168986,0.785882043838501,0.7921379506587982,32.374836444854736
GA,20,medium,1.0,10,sinusoidal,1.1381916891444812,1.0325352013111115,1.190376377105713,32.665488719940186
SGD,3,high,0.1,16,polynomial,0.003087459507779303,0.0038474471773952247,0.00330080131534487,2.880364179611206
SGD,3,high,0.1,16,sinusoidal,0.04335858262228695,0.03972394596785307,0.04366619046777487,2.8512725830078125
SGD,3,high,0.5,16,polynomial,0.0037226603784471413,0.00437660152092576,0.0039838086115196346,2.8807098865509033
SGD,3,high,0.5,16,sinusoidal,0.03806269359351559,0.035020731016993524,0.0395915212109685,3.971565008163452
SGD,3,high,1.0,16,polynomial,0.004810046050062572,0.005438101594336331,0.004861897137016058,3.9905245304107666
SGD,3,high,1.0,16,sinusoidal,0.032291571694341575,0.029670977499336004,0.033637940511107446,3.9850070476531982
SGD,3,low,0.1,16,polynomial,0.0004981774671415968,0.0006063007487682626,0.0004944810207234696,2.8517274856567383
SGD,3,low,0.1,16,sinusoidal,0.03919019101356918,0.04460208024829626,0.03922951593995094,2.8465588092803955
SGD,3,low,0.5,16,polynomial,0.0010946441828061572,0.0010237505688564853,0.0010503210651222616,2.8946378231048584
SGD,3,low,0.5,16,sinusoidal,0.030765407337722452,0.03493509981781244,0.031602313928306106,2.888195514678955
SGD,3,low,1.0,16,polynomial,0.0027536701606798238,0.0029002375202253463,0.0029251497006043794,3.993670701980591
SGD,3,low,1.0,16,sinusoidal,0.02679588055153462,0.03128481954336167,0.027914030104875566,3.972773551940918
SGD,3,medium,0.1,16,polynomial,0.0020748003827810117,0.0021319807739928363,0.002228612278122455,2.85251784324646
SGD,3,medium,0.1,16,sinusoidal,0.0408998281610283,0.03746184557676315,0.044452847167849543,2.874276876449585
SGD,3,medium,0.5,16,polynomial,0.0027924757794773377,0.002779508335515857,0.002918539952952415,2.9141509532928467
SGD,3,medium,0.5,16,sinusoidal,0.036983893252909184,0.03306378498673439,0.04083029683679342,3.9634785652160645
SGD,3,medium,1.0,16,polynomial,0.0035894210820763624,0.0035493304720148446,0.004339372296817601,3.947585105895996
